bottle,consumedOn,verdictThen,verdictNow,windowThen,windowNow
lodi-assorted-zinfandel-2019-b,2025-03-04,UNKNOWN,IN_WINDOW,,2021-2026 personal 2025-03-05
lodi-assorted-zinfandel-2020-a,2025-12-06,UNKNOWN,UNKNOWN,,
lodi-assorted-zinfandel-2020-b,2024-05-12,UNKNOWN,UNKNOWN,,
paradis-vineyards-estate-marechal-foch-2021-a,2022-07-30,EARLY,EARLY,2023-2027 producer 2022-04-08,2023-2024 personal 2024-02-21
paradis-vineyards-estate-marechal-foch-2021-b,2024-02-20,IN_WINDOW,IN_WINDOW,2023-2027 producer 2022-04-08,2023-2024 personal 2024-02-21
paradis-vineyards-estate-marechal-foch-2021-c,2025-09-06,LATE,LATE,2023-2024 personal 2024-02-21,2023-2024 personal 2024-02-21
paradis-vineyards-marechal-foch-2021-b,2024-08-16,IN_WINDOW,IN_WINDOW,2022-2024 personal 2023-08-29,2022-2024 personal 2023-08-29
paradis-vineyards-marechal-foch-2021-c,2024-09-18,IN_WINDOW,IN_WINDOW,2022-2024 personal 2023-08-29,2022-2024 personal 2023-08-29
paradis-vineyards-marechal-foch-2021-e,2024-12-16,IN_WINDOW,IN_WINDOW,2022-2024 personal 2023-08-29,2022-2024 personal 2023-08-29
paradis-vineyards-marechal-foch-2021-g,2023-08-28,IN_WINDOW,IN_WINDOW,2022-2025 producer 2022-03-15,2022-2024 personal 2023-08-29
paradis-vineyards-marechal-foch-2021-h,2024-11-26,IN_WINDOW,IN_WINDOW,2022-2024 personal 2023-08-29,2022-2024 personal 2023-08-29
paradis-vineyards-marechal-foch-2022-a,2024-08-08,IN_WINDOW,IN_WINDOW,2023-2027 personal 2024-06-06,2023-2027 personal 2024-06-06
paradis-vineyards-marechal-foch-2022-b,2025-04-25,IN_WINDOW,IN_WINDOW,2023-2027 personal 2024-06-06,2023-2027 personal 2024-06-06
paradis-vineyards-marechal-foch-2022-c,2023-12-23,IN_WINDOW,IN_WINDOW,2023-2026 producer 2023-03-10,2023-2027 personal 2024-06-06
paradis-vineyards-marechal-foch-2022-e,2024-06-09,IN_WINDOW,IN_WINDOW,2023-2027 personal 2024-06-06,2023-2027 personal 2024-06-06
paradis-vineyards-marechal-foch-2022-f,2024-06-05,IN_WINDOW,IN_WINDOW,2023-2026 producer 2023-03-10,2023-2027 personal 2024-06-06
paradis-vineyards-marechal-foch-2023-b,2025-12-28,IN_WINDOW,IN_WINDOW,2024-2027 producer 2024-06-14,2024-2027 producer 2024-06-14
paradis-vineyards-marechal-foch-2023-c,2025-12-12,IN_WINDOW,IN_WINDOW,2024-2027 producer 2024-06-14,2024-2027 producer 2024-06-14
paradis-vineyards-marechal-foch-2024-b,2025-06-21,UNKNOWN,IN_WINDOW,,2025-2026 personal 2025-12-05
paradis-vineyards-marechal-foch-2024-d,2025-12-04,IN_WINDOW,IN_WINDOW,2025-2028 producer 2025-09-12,2025-2026 personal 2025-12-05
paradis-vineyards-pinot-gris-2021-a,2022-05-18,UNKNOWN,IN_WINDOW,,2022-2025 personal 2024-03-04
paradis-vineyards-pinot-gris-2021-b,2023-12-03,IN_WINDOW,IN_WINDOW,2022-2026 producer 2022-06-12,2022-2025 personal 2024-03-04
paradis-vineyards-pinot-gris-2021-c,2022-08-06,IN_WINDOW,IN_WINDOW,2022-2026 producer 2022-06-12,2022-2025 personal 2024-03-04
paradis-vineyards-pinot-gris-2021-d,2024-06-02,IN_WINDOW,IN_WINDOW,2022-2025 personal 2024-03-04,2022-2025 personal 2024-03-04
paradis-vineyards-pinot-gris-2021-e,2024-03-03,IN_WINDOW,IN_WINDOW,2022-2026 producer 2022-06-12,2022-2025 personal 2024-03-04
paradis-vineyards-pinot-gris-2022-b,2024-11-21,IN_WINDOW,IN_WINDOW,2023-2027 producer 2023-07-12,2023-2027 producer 2023-07-12
paradis-vineyards-pinot-gris-2022-c,2023-11-22,IN_WINDOW,IN_WINDOW,2023-2027 producer 2023-07-12,2023-2027 producer 2023-07-12
paradis-vineyards-pinot-gris-2022-f,2023-11-06,IN_WINDOW,IN_WINDOW,2023-2027 producer 2023-07-12,2023-2027 producer 2023-07-12
paradis-vineyards-pinot-gris-2022-g,2024-12-02,IN_WINDOW,IN_WINDOW,2023-2027 producer 2023-07-12,2023-2027 producer 2023-07-12
paradis-vineyards-pinot-gris-2023-b,2025-05-26,IN_WINDOW,IN_WINDOW,2024-2027 producer 2024-05-12,2024-2028 personal 2025-05-27
paradis-vineyards-pinot-gris-2023-c,2025-06-09,IN_WINDOW,IN_WINDOW,2024-2028 personal 2025-05-27,2024-2028 personal 2025-05-27
paradis-vineyards-pinot-noir-2019-b,2024-04-18,IN_WINDOW,IN_WINDOW,2021-2025 personal 2022-08-17,2021-2025 personal 2022-08-17
paradis-vineyards-pinot-noir-2019-c,2024-11-05,IN_WINDOW,IN_WINDOW,2021-2025 personal 2022-08-17,2021-2025 personal 2022-08-17
paradis-vineyards-pinot-noir-2019-d,2022-08-22,IN_WINDOW,IN_WINDOW,2021-2025 personal 2022-08-17,2021-2025 personal 2022-08-17
paradis-vineyards-pinot-noir-2019-f,2022-08-16,IN_WINDOW,IN_WINDOW,2021-2024 producer 2021-09-12,2021-2025 personal 2022-08-17
paradis-vineyards-pinot-noir-2019-g,2024-08-23,IN_WINDOW,IN_WINDOW,2021-2025 personal 2022-08-17,2021-2025 personal 2022-08-17
paradis-vineyards-pinot-noir-2019-h,2024-11-05,IN_WINDOW,IN_WINDOW,2021-2025 personal 2022-08-17,2021-2025 personal 2022-08-17
paradis-vineyards-pinot-noir-2019-i,2023-12-23,IN_WINDOW,IN_WINDOW,2021-2025 personal 2022-08-17,2021-2025 personal 2022-08-17
paradis-vineyards-pinot-noir-2019-j,2024-04-23,IN_WINDOW,IN_WINDOW,2021-2025 personal 2022-08-17,2021-2025 personal 2022-08-17
paradis-vineyards-pinot-noir-2021-b,2024-03-08,IN_WINDOW,IN_WINDOW,2023-2026 producer 2023-07-12,2023-2026 producer 2023-07-12
paradis-vineyards-pinot-noir-2023-d,2026-02-13,IN_WINDOW,IN_WINDOW,2025-2028 producer 2025-04-12,2025-2028 producer 2025-04-12
paradis-vineyards-riesling-2021-a,2026-09-03,IN_WINDOW,IN_WINDOW,2026-2034 personal 2026-07-09,2026-2034 personal 2026-07-09
paradis-vineyards-riesling-2021-b,2026-07-08,IN_WINDOW,IN_WINDOW,2026-2036 producer 2022-06-12,2026-2034 personal 2026-07-09
paradis-vineyards-riesling-2021-c,2026-06-26,IN_WINDOW,IN_WINDOW,2026-2036 producer 2022-06-12,2026-2034 personal 2026-07-09
paradis-vineyards-riesling-2021-d,2026-06-14,IN_WINDOW,IN_WINDOW,2026-2036 producer 2022-06-12,2026-2034 personal 2026-07-09
paradis-vineyards-riesling-2021-e,2026-06-21,IN_WINDOW,IN_WINDOW,2026-2036 producer 2022-06-12,2026-2034 personal 2026-07-09
paradis-vineyards-riesling-2021-f,2026-03-12,IN_WINDOW,IN_WINDOW,2026-2036 producer 2022-06-12,2026-2034 personal 2026-07-09
st-josef-s-pinot-noir-2019-a,2023-12-05,IN_WINDOW,IN_WINDOW,2021-2024 producer 2021-04-12,2021-2024 producer 2021-04-12
st-josef-s-pinot-noir-2021-b,2024-07-14,IN_WINDOW,IN_WINDOW,2023-2026 producer 2023-06-12,2023-2026 producer 2023-06-12
st-josef-s-pinot-noir-2022-b,2026-08-05,IN_WINDOW,IN_WINDOW,2024-2027 producer 2024-06-12,2024-2027 producer 2024-06-12
st-josef-s-pinot-noir-2023-a,2025-11-05,IN_WINDOW,IN_WINDOW,2025-2028 producer 2025-06-12,2025-2028 producer 2025-06-12
vitis-ridge-chardonnay-2019-a,2022-01-22,IN_WINDOW,IN_WINDOW,2021-2027 producer 2021-03-12,2021-2024 personal 2022-01-23
vitis-ridge-chardonnay-2019-c,2021-08-23,IN_WINDOW,IN_WINDOW,2021-2027 producer 2021-03-12,2021-2024 personal 2022-01-23
vitis-ridge-chardonnay-2019-d,2022-05-04,IN_WINDOW,IN_WINDOW,2021-2024 personal 2022-01-23,2021-2024 personal 2022-01-23
vitis-ridge-chardonnay-2019-e,2022-10-07,IN_WINDOW,IN_WINDOW,2021-2024 personal 2022-01-23,2021-2024 personal 2022-01-23
vitis-ridge-chardonnay-2021-a,2024-11-21,IN_WINDOW,IN_WINDOW,2023-2031 producer 2023-05-12,2023-2031 producer 2023-05-12
vitis-ridge-chardonnay-2021-b,2024-01-21,IN_WINDOW,IN_WINDOW,2023-2031 producer 2023-05-12,2023-2031 producer 2023-05-12
vitis-ridge-chardonnay-2021-d,2024-07-08,IN_WINDOW,IN_WINDOW,2023-2031 producer 2023-05-12,2023-2031 producer 2023-05-12
vitis-ridge-chardonnay-2022-a,2024-11-08,IN_WINDOW,IN_WINDOW,2024-2032 producer 2024-04-12,2024-2032 producer 2024-04-12
vitis-ridge-fortissimo-2021-a,2024-11-04,IN_WINDOW,IN_WINDOW,2024-2038 producer 2023-06-12,2024-2037 personal 2026-06-27
vitis-ridge-fortissimo-2021-b,2026-06-26,IN_WINDOW,IN_WINDOW,2024-2038 producer 2023-06-12,2024-2037 personal 2026-06-27
vitis-ridge-fortissimo-2024-b,2026-06-18,UNKNOWN,EARLY,,2027-2041 producer 2026-09-12
vitis-ridge-marechal-foch-2021-a,2024-01-20,IN_WINDOW,IN_WINDOW,2022-2025 producer 2022-03-13,2022-2024 personal 2024-10-19
vitis-ridge-marechal-foch-2021-b,2023-08-22,IN_WINDOW,IN_WINDOW,2022-2025 producer 2022-03-13,2022-2024 personal 2024-10-19
vitis-ridge-marechal-foch-2021-e,2024-10-18,IN_WINDOW,IN_WINDOW,2022-2025 producer 2022-03-13,2022-2024 personal 2024-10-19
vitis-ridge-marechal-foch-2021-f,2025-09-10,LATE,LATE,2022-2024 personal 2024-10-19,2022-2024 personal 2024-10-19
vitis-ridge-marechal-foch-2022-a,2024-09-12,IN_WINDOW,IN_WINDOW,2023-2026 producer 2023-04-12,2023-2026 producer 2023-04-12
vitis-ridge-marechal-foch-2022-c,2023-11-02,IN_WINDOW,IN_WINDOW,2023-2026 producer 2023-04-12,2023-2026 producer 2023-04-12
vitis-ridge-marechal-foch-2022-d,2025-06-06,IN_WINDOW,IN_WINDOW,2023-2026 producer 2023-04-12,2023-2026 producer 2023-04-12
vitis-ridge-marechal-foch-2024-a,2026-08-08,IN_WINDOW,IN_WINDOW,2025-2028 producer 2025-09-12,2025-2029 personal 2026-08-09
vitis-ridge-pinot-gris-2021-a,2023-12-03,IN_WINDOW,IN_WINDOW,2022-2026 producer 2022-04-12,2022-2026 producer 2022-04-12
vitis-ridge-pinot-gris-2021-b,2023-03-04,IN_WINDOW,IN_WINDOW,2022-2026 producer 2022-04-12,2022-2026 producer 2022-04-12
vitis-ridge-pinot-gris-2021-d,2024-06-26,IN_WINDOW,IN_WINDOW,2022-2026 producer 2022-04-12,2022-2026 producer 2022-04-12
vitis-ridge-pinot-gris-2022-b,2025-06-01,IN_WINDOW,IN_WINDOW,2023-2027 producer 2023-07-12,2023-2026 personal 2025-06-02
vitis-ridge-pinot-gris-2022-c,2024-12-24,IN_WINDOW,IN_WINDOW,2023-2027 producer 2023-07-12,2023-2026 personal 2025-06-02
vitis-ridge-pinot-gris-2022-d,2024-11-07,IN_WINDOW,IN_WINDOW,2023-2027 producer 2023-07-12,2023-2026 personal 2025-06-02
vitis-ridge-pinot-gris-2023-a,2024-09-20,IN_WINDOW,IN_WINDOW,2024-2027 producer 2024-03-12,2024-2027 producer 2024-03-12
vitis-ridge-pinot-gris-2023-c,2025-12-22,IN_WINDOW,IN_WINDOW,2024-2027 producer 2024-03-12,2024-2027 producer 2024-03-12
vitis-ridge-pinot-gris-2023-f,2026-02-02,IN_WINDOW,IN_WINDOW,2024-2027 producer 2024-03-12,2024-2027 producer 2024-03-12
vitis-ridge-pinot-noir-2019-b,2023-11-09,IN_WINDOW,IN_WINDOW,2021-2023 personal 2023-08-21,2021-2023 personal 2023-08-21
vitis-ridge-pinot-noir-2019-c,2024-09-07,LATE,LATE,2021-2023 personal 2023-08-21,2021-2023 personal 2023-08-21
vitis-ridge-pinot-noir-2019-d,2022-12-06,IN_WINDOW,IN_WINDOW,2021-2024 producer 2021-03-12,2021-2023 personal 2023-08-21
vitis-ridge-pinot-noir-2019-e,2023-08-20,IN_WINDOW,IN_WINDOW,2021-2024 producer 2021-03-12,2021-2023 personal 2023-08-21
vitis-ridge-pinot-noir-2019-f,2023-11-04,IN_WINDOW,IN_WINDOW,2021-2023 personal 2023-08-21,2021-2023 personal 2023-08-21
vitis-ridge-pinot-noir-2022-f,2026-03-12,IN_WINDOW,IN_WINDOW,2024-2027 producer 2024-07-12,2024-2027 producer 2024-07-12
vitis-ridge-riesling-2022-d,2025-05-02,EARLY,EARLY,2027-2037 producer 2023-09-12,2027-2037 producer 2023-09-12
vitis-ridge-rose-of-pinot-noir-2019-a,2022-08-12,LATE,LATE,2020-2021 producer 2020-04-12,2020-2021 producer 2020-04-12
vitis-ridge-rose-of-pinot-noir-2022-a,2024-12-17,IN_WINDOW,IN_WINDOW,2023-2026 producer 2023-05-12,2023-2026 producer 2023-05-12
vitis-ridge-rose-of-pinot-noir-2022-c,2024-11-06,IN_WINDOW,IN_WINDOW,2023-2026 producer 2023-05-12,2023-2026 producer 2023-05-12
vitis-ridge-rose-of-pinot-noir-2022-d,2024-12-11,IN_WINDOW,IN_WINDOW,2023-2026 producer 2023-05-12,2023-2026 producer 2023-05-12
vitis-ridge-tannin-s-blend-2019-b,2021-07-25,IN_WINDOW,IN_WINDOW,2021-2027 producer 2021-05-12,2021-2029 personal 2021-07-26
vitis-ridge-tannin-s-blend-2019-c,2022-03-05,IN_WINDOW,IN_WINDOW,2021-2029 personal 2021-07-26,2021-2029 personal 2021-07-26
vitis-ridge-tannin-s-blend-2019-d,2022-12-18,IN_WINDOW,IN_WINDOW,2021-2029 personal 2021-07-26,2021-2029 personal 2021-07-26
vitis-ridge-tannin-s-blend-2022-a,2025-05-28,IN_WINDOW,IN_WINDOW,2024-2032 producer 2024-06-12,2024-2030 personal 2025-05-29
vitis-ridge-tannin-s-blend-2022-e,2025-07-08,IN_WINDOW,IN_WINDOW,2024-2030 personal 2025-05-29,2024-2030 personal 2025-05-29
